x,y,z
6.340000000000000000e+02,2.000000000000000000e+02,1.064428806304931641e+00
7.580000000000000000e+02,2.000000000000000000e+02,1.079864621162414551e+00
8.200000000000000000e+02,2.000000000000000000e+02,1.067958116531372070e+00
5.720000000000000000e+02,2.160000000000000000e+02,1.381616473197937012e+00
6.340000000000000000e+02,2.160000000000000000e+02,1.081098437309265137e+00
7.580000000000000000e+02,2.160000000000000000e+02,1.035711884498596191e+00
6.340000000000000000e+02,2.320000000000000000e+02,1.262646675109863281e+00
6.960000000000000000e+02,2.320000000000000000e+02,1.253618478775024414e+00
7.580000000000000000e+02,2.320000000000000000e+02,9.518470764160156250e-01
6.340000000000000000e+02,2.480000000000000000e+02,1.090451359748840332e+00
7.580000000000000000e+02,2.480000000000000000e+02,1.007996320724487305e+00
8.200000000000000000e+02,2.480000000000000000e+02,9.792564511299133301e-01
8.820000000000000000e+02,2.480000000000000000e+02,8.583415150642395020e-01
6.340000000000000000e+02,2.640000000000000000e+02,1.246255517005920410e+00
6.960000000000000000e+02,2.640000000000000000e+02,1.268332242965698242e+00
7.580000000000000000e+02,2.640000000000000000e+02,9.520295858383178711e-01
8.200000000000000000e+02,2.640000000000000000e+02,9.471228122711181641e-01
6.340000000000000000e+02,2.800000000000000000e+02,1.274169445037841797e+00
6.960000000000000000e+02,2.800000000000000000e+02,1.171287059783935547e+00
7.580000000000000000e+02,2.800000000000000000e+02,1.011317729949951172e+00
8.200000000000000000e+02,2.800000000000000000e+02,9.117309451103210449e-01
5.720000000000000000e+02,2.960000000000000000e+02,1.270046114921569824e+00
6.340000000000000000e+02,2.960000000000000000e+02,1.100586056709289551e+00
6.960000000000000000e+02,2.960000000000000000e+02,1.049004316329956055e+00
7.580000000000000000e+02,2.960000000000000000e+02,9.121450185775756836e-01
8.200000000000000000e+02,2.960000000000000000e+02,9.777987003326416016e-01
5.720000000000000000e+02,3.120000000000000000e+02,1.258745431900024414e+00
6.960000000000000000e+02,3.120000000000000000e+02,1.081502437591552734e+00
7.580000000000000000e+02,3.120000000000000000e+02,8.997161984443664551e-01
8.200000000000000000e+02,3.120000000000000000e+02,8.758052587509155273e-01
6.340000000000000000e+02,3.280000000000000000e+02,1.025757670402526855e+00
6.960000000000000000e+02,3.280000000000000000e+02,1.203012943267822266e+00
7.580000000000000000e+02,3.280000000000000000e+02,9.253047108650207520e-01
8.200000000000000000e+02,3.280000000000000000e+02,8.342289924621582031e-01
5.100000000000000000e+02,3.440000000000000000e+02,1.259205102920532227e+00
5.720000000000000000e+02,3.440000000000000000e+02,1.312470078468322754e+00
6.340000000000000000e+02,3.440000000000000000e+02,1.135632276535034180e+00
6.960000000000000000e+02,3.440000000000000000e+02,1.193322777748107910e+00
7.580000000000000000e+02,3.440000000000000000e+02,8.812348246574401855e-01
8.200000000000000000e+02,3.440000000000000000e+02,9.030295610427856445e-01
5.720000000000000000e+02,3.600000000000000000e+02,1.262414216995239258e+00
6.340000000000000000e+02,3.600000000000000000e+02,1.124293327331542969e+00
6.960000000000000000e+02,3.600000000000000000e+02,9.359277486801147461e-01
7.580000000000000000e+02,3.600000000000000000e+02,8.766982555389404297e-01
8.200000000000000000e+02,3.600000000000000000e+02,8.308650255203247070e-01
4.480000000000000000e+02,3.760000000000000000e+02,1.301642656326293945e+00
5.720000000000000000e+02,3.760000000000000000e+02,1.172850131988525391e+00
6.340000000000000000e+02,3.760000000000000000e+02,1.112910985946655273e+00
6.960000000000000000e+02,3.760000000000000000e+02,1.076462745666503906e+00
7.580000000000000000e+02,3.760000000000000000e+02,8.736684322357177734e-01
5.100000000000000000e+02,3.920000000000000000e+02,1.234173774719238281e+00
5.720000000000000000e+02,3.920000000000000000e+02,1.155050516128540039e+00
6.340000000000000000e+02,3.920000000000000000e+02,1.092740297317504883e+00
6.960000000000000000e+02,3.920000000000000000e+02,9.125425219535827637e-01
7.580000000000000000e+02,3.920000000000000000e+02,8.810698986053466797e-01
8.200000000000000000e+02,3.920000000000000000e+02,8.575567603111267090e-01
4.480000000000000000e+02,4.080000000000000000e+02,1.320065140724182129e+00
5.100000000000000000e+02,4.080000000000000000e+02,1.297026991844177246e+00
5.720000000000000000e+02,4.080000000000000000e+02,1.128926396369934082e+00
6.340000000000000000e+02,4.080000000000000000e+02,1.098658561706542969e+00
6.960000000000000000e+02,4.080000000000000000e+02,1.019063234329223633e+00
7.580000000000000000e+02,4.080000000000000000e+02,8.662082552909851074e-01
3.860000000000000000e+02,4.240000000000000000e+02,1.130391955375671387e+00
4.480000000000000000e+02,4.240000000000000000e+02,1.300395011901855469e+00
5.100000000000000000e+02,4.240000000000000000e+02,1.231595039367675781e+00
5.720000000000000000e+02,4.240000000000000000e+02,1.080224633216857910e+00
6.340000000000000000e+02,4.240000000000000000e+02,1.101677298545837402e+00
6.960000000000000000e+02,4.240000000000000000e+02,8.619888424873352051e-01
7.580000000000000000e+02,4.240000000000000000e+02,8.705833554267883301e-01
4.480000000000000000e+02,4.400000000000000000e+02,1.341526985168457031e+00
5.100000000000000000e+02,4.400000000000000000e+02,1.171063184738159180e+00
5.720000000000000000e+02,4.400000000000000000e+02,1.018011689186096191e+00
6.340000000000000000e+02,4.400000000000000000e+02,1.077250003814697266e+00
6.960000000000000000e+02,4.400000000000000000e+02,1.011268377304077148e+00
4.480000000000000000e+02,4.560000000000000000e+02,1.269792079925537109e+00
5.100000000000000000e+02,4.560000000000000000e+02,1.142587304115295410e+00
5.720000000000000000e+02,4.560000000000000000e+02,1.012180447578430176e+00
6.340000000000000000e+02,4.560000000000000000e+02,1.080867648124694824e+00
4.480000000000000000e+02,4.720000000000000000e+02,1.261680126190185547e+00
5.100000000000000000e+02,4.720000000000000000e+02,1.145005702972412109e+00
5.720000000000000000e+02,4.720000000000000000e+02,1.051207423210144043e+00
6.340000000000000000e+02,4.720000000000000000e+02,1.093349099159240723e+00
4.480000000000000000e+02,4.880000000000000000e+02,1.269250392913818359e+00
5.100000000000000000e+02,4.880000000000000000e+02,1.107507586479187012e+00
5.720000000000000000e+02,4.880000000000000000e+02,1.107313632965087891e+00
6.340000000000000000e+02,4.880000000000000000e+02,1.127351522445678711e+00
6.960000000000000000e+02,4.880000000000000000e+02,1.010377168655395508e+00
4.480000000000000000e+02,5.040000000000000000e+02,1.259418249130249023e+00
5.100000000000000000e+02,5.040000000000000000e+02,1.137392163276672363e+00
5.720000000000000000e+02,5.040000000000000000e+02,1.092372775077819824e+00
6.340000000000000000e+02,5.040000000000000000e+02,1.141161561012268066e+00
6.960000000000000000e+02,5.040000000000000000e+02,1.030587434768676758e+00
